"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Language of Original Document","Document Type","Publication Stage","Open Access","Source","EID"
"Durán A.P.; Kuiper J.J.; Aguiar A.P.D.; Cheung W.W.L.; Diaw M.C.; Halouani G.; Hashimoto S.; Gasalla M.A.; Peterson G.D.; Schoolenberg M.A.; Abbasov R.; Acosta L.A.; Armenteras D.; Davila F.; Denboba M.A.; Harrison P.A.; Harhash K.A.; Karlsson-Vinkhuyzen S.; Kim H.J.; Lundquist C.J.; Miller B.W.; Okayasu S.; Pichs-Madruga R.; Sathyapalan J.; Saysel A.K.; Yu D.; Pereira L.M.","Durán, América Paz (55625123800); Kuiper, Jan J. (56019760600); Aguiar, Ana Paula Dutra (7005379013); Cheung, William W. L. (57773051600); Diaw, Mariteuw Chimère (36129587100); Halouani, Ghassen (55711475000); Hashimoto, Shizuka (58324531100); Gasalla, Maria A. (8775290100); Peterson, Garry D. (7402563008); Schoolenberg, Machteld A. (57219469894); Abbasov, Rovshan (25923842700); Acosta, Lilibeth A. (54966289700); Armenteras, Dolors (7801374689); Davila, Federico (55842355200); Denboba, Mekuria Argaw (57195565203); Harrison, Paula A. (7401611938); Harhash, Khaled Allam (57196123153); Karlsson-Vinkhuyzen, Sylvia (26657373500); Kim, HyeJin (57202103931); Lundquist, Carolyn J. (7003846946); Miller, Brian W. (35956941000); Okayasu, Sana (56200166800); Pichs-Madruga, Ramon (6505549347); Sathyapalan, Jyothis (8520251300); Saysel, Ali Kerem (6506338008); Yu, Dandan (58236111300); Pereira, Laura M. (36626441000)","55625123800; 56019760600; 7005379013; 57773051600; 36129587100; 55711475000; 58324531100; 8775290100; 7402563008; 57219469894; 25923842700; 54966289700; 7801374689; 55842355200; 57195565203; 7401611938; 57196123153; 26657373500; 57202103931; 7003846946; 35956941000; 56200166800; 6505549347; 8520251300; 6506338008; 58236111300; 36626441000","Bringing the Nature Futures Framework to life: creating a set of illustrative narratives of nature futures","2023","Sustainability Science","","","","","","","0","10.1007/s11625-023-01316-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85157968404&doi=10.1007%2fs11625-023-01316-1&partnerID=40&md5=02677321598d31bc98028f5a36084e3e","To halt further destruction of the biosphere, most people and societies around the globe need to transform their relationships with nature. The internationally agreed vision under the Convention of Biological Diversity—Living in harmony with nature—is that “By 2050, biodiversity is valued, conserved, restored and wisely used, maintaining ecosystem services, sustaining a healthy planet and delivering benefits essential for all people”. In this context, there are a variety of debates between alternative perspectives on how to achieve this vision. Yet, scenarios and models that are able to explore these debates in the context of “living in harmony with nature” have not been widely developed. To address this gap, the Nature Futures Framework has been developed to catalyse the development of new scenarios and models that embrace a plurality of perspectives on desirable futures for nature and people. In this paper, members of the IPBES task force on scenarios and models provide an example of how the Nature Futures Framework can be implemented for the development of illustrative narratives representing a diversity of desirable nature futures: information that can be used to assess and develop scenarios and models whilst acknowledging the underpinning value perspectives on nature. Here, the term illustrative reflects the multiple ways in which desired nature futures can be captured by these narratives. In addition, to explore the interdependence between narratives, and therefore their potential to be translated into scenarios and models, the six narratives developed here were assessed around three areas of the transformative change debate, specifically, (1) land sparing vs. land sharing, (2) Half Earth vs. Whole Earth conservation, and (3) green growth vs. post-growth economic development. The paper concludes with an assessment of how the Nature Futures Framework could be used to assist in developing and articulating transformative pathways towards desirable nature futures. © 2023, The Author(s).","Biodiversity; IPBES; Nature values; NCP; Scenarios; Transformation","","English","Article","Article in press","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85157968404"
"Leino H.; Karppi I.; Jokinen A.","Leino, Helena (18437081700); Karppi, Ilari (9238866800); Jokinen, Ari (15827890900)","18437081700; 9238866800; 15827890900","It’s all about the birds! Non-human actors’ situational power in creating conditions for human engagement","2017","Planning Theory","16","2","","133","149","16","7","10.1177/1473095215617985","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018776483&doi=10.1177%2f1473095215617985&partnerID=40&md5=9b1891b675e54bf3642bb52dc7693bf5","In this article, we aim to understand how planning theory and practice should approach new urban entities and their transforming meanings. We argue that planning practice has difficulties in identifying and recognising developmental processes where the human attachment to the local environment gradually changes the identity and use of an area. Instead, these processes are interpreted as disruptions in the planned course of action. We illustrate our viewpoint with an empirical example from Finland. The case is about a significant spot of biodiversity in a completely man-made environment. The study serves as an example of how artefacts actively co-shape the events and environment around them and thus create a relationship between humans and their surroundings. Drawing on a science and technology studies-inspired perspective on the relationships between human and non-human actors, we stress the importance of artefacts, local setting and processual development in urban planning. © 2015, © The Author(s) 2015.","artefact; attachment; non-human; participation; transformation; urban nature","Finland; Aves; artifact; biodiversity; development strategy; environmental management; nature-society relations; participatory approach; planning practice; planning process; planning theory; science and technology; urban area; urban planning","English","Article","Final","","Scopus","2-s2.0-85018776483"
"Butler C.D.","Butler, Colin D. (35483225500)","35483225500","Sounding the alarm: Health in the anthropocene","2016","International Journal of Environmental Research and Public Health","13","7","665","","","","33","10.3390/ijerph13070665","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84976631445&doi=10.3390%2fijerph13070665&partnerID=40&md5=ef6365457a5bb5b3e5aaa31dcc89bfeb","There is growing scientific and public recognition that human actions, directly and indirectly, have profoundly changed the Earth system, in a still accelerating process, increasingly called the “Anthropocene”. Planetary transformation, including of the atmosphere, climate, ecosystems and biodiversity, has enormous implications for human health, many of which are deeply disturbing, especially in low-income settings. A few health consequences of the Anthropocene have been partially recognized, including within environmental epidemiology, but their long-term consequences remain poorly understood and greatly under-rated. For example Syria could be a “sentinel” population, giving a glimpse to a much wider dystopian future. Health-Earth is a research network, co-founded in 2014, which seeks, with other groups, to catalyse a powerful curative response by the wider health community. This paper builds on a symposium presented by Health-Earth members at the 2015 conference of the International Society for Environmental Epidemiology. It reviews and synthesizes parts of the large literature relevant to the interaction between the changing Earth system and human health. It concludes that this topic should be prominent within future environmental epidemiology and public health. Created by our species, these challenges may be soluble, but solutions require far more understanding and resources than are currently being made available. © 2016 by the authors; licensee MDPI, Basel, Switzerland.","Anthropocene; Eco-social tipping points; Future health; Health inequalities; Health-Earth; Limits to growth; Planetary boundaries","Biodiversity; Ecosystem; Environmental Health; Health Status; Human Activities; Humans; Anthropocene; environmental change; epidemiology; forecasting method; public health; catalysis; human; public health; solubility; species; Syrian Arab Republic; biodiversity; ecosystem; environmental health; health status; human activities","English","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-84976631445"
"Salisu Barau A.; Stringer L.C.; Adamu A.U.","Salisu Barau, Aliyu (56990015000); Stringer, Lindsay C. (14018839600); Adamu, Abdalla U. (26666457200)","56990015000; 14018839600; 26666457200","Environmental ethics and future oriented transformation to sustainability in Sub-Saharan Africa","2016","Journal of Cleaner Production","135","","","1539","1547","8","21","10.1016/j.jclepro.2016.03.053","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84964691005&doi=10.1016%2fj.jclepro.2016.03.053&partnerID=40&md5=1c590c2facf34186647a5fa3754c6310","The current study underscores the importance of environmental ethics as a vehicle for engaging society, businesses, and policy-makers towards mainstreaming transformation to sustainability. This reflects an innovative trend towards using narratives in social and management sciences, which needs to be replicated by other disciplines, organisations, agencies, and social groupings. In this paper, focus is on identifying storylines, phrases, myths, and local and indigenous knowledge systems of ethical and ecological significance. Using examples from written and unwritten narratives of Hausa – one of the widely spoken languages in sub-Saharan Africa, this study shines light on some key narratives relevant to present day critical environmental issues such as management of agricultural landscapes, municipal waste, ecosystem services, integrated natural resource management, and biodiversity loss. Environmental ethics drawn from the narratives provide an integrated platform where formal and informal institutions of sustainability can be strengthened, supporting transformation towards sustainability through enhancing ecological consciousness, skills, and attitudes. © 2016 Elsevier Ltd","Ecocriticism; Human dimensions; Institutions; Knowledge; Narratives","Biodiversity; Ecology; Ecosystems; Management science; Natural resources management; Philosophical aspects; Societies and institutions; Waste management; Agricultural landscapes; Ecocriticism; Environmental issues; Human dimensions; Knowledge; Narratives; Natural resource management; Oriented transformation; Sustainable development","English","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-84964691005"
"Tregidga H.; Laine M.","Tregidga, Helen (14049335300); Laine, Matias (8919282700)","14049335300; 8919282700","On crisis and emergency: Is it time to rethink long-term environmental accounting?","2022","Critical Perspectives on Accounting","82","","102311","","","","14","10.1016/j.cpa.2021.102311","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105064439&doi=10.1016%2fj.cpa.2021.102311&partnerID=40&md5=62a3539ad107dd5d81836a965c68d821","The environment is in crisis. Climate science and biodiversity loss indicators, for example, illustrate the extent of environmental degradation and the concerns with the sustainability of Earth, or perhaps more specifically, the ability of Earth to sustain (human) life. There is also an increasing recognition of the environmental crisis as urgent, as an emergency, yet whether we are acting sufficiently to the environmental crisis is still up for debate. These debates have become more evident in light of the COVID-19 pandemic, creating a context within which to consider what it means to respond to a crisis and how the environment might feature in any post-COVID recovery. In this essay, we first outline and reflect on crisis, urgency and (in)action through a consideration of the environmental crisis and the COVID-19 crisis before moving to our main focus – the implications for environmental accounting. Specifically, we suggest that the construction of environmental accounting as accounting for the long-term, an attempt to contrast it with and overcome the problems with short-term conventional accounting, potentially contributes to the construction of the environment as lacking urgency and potentially enables its marginalisation. We argue that in order to make the most of accounting's potential as a constitutive force, capable of participating in transforming preferences, decisions and behaviour in organisations and societies, environmental accounting needs to be about the short-term. We contribute to the ongoing discussions on how accounting needs to change if it is to recognise the urgent nature of the environmental crisis. © 2021 The Authors","Crisis; Environmental accounting; Time; Urgency","","English","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85105064439"
"Liang Q.Q.; Li M.; Liu R.J.; Guo S.X.","Liang, Qian Qian (56423122000); Li, Min (56908420800); Liu, Run Jin (25930506000); Guo, Shao Xia (36610042500)","56423122000; 56908420800; 25930506000; 36610042500","Function and functioning mechanisms of mycorrhizal fungi under global changes","2014","Shengtai Xuebao","34","21","","6039","6048","9","1","10.5846/stxb201301300191","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84911466512&doi=10.5846%2fstxb201301300191&partnerID=40&md5=12ccf61848aad6965247fcbf4ba33399","Global changes with regards to climate, environment, economy and society may cause serious problems and in the meantime also challenges for terrestrial ecosystems. Example global changes include greenhouse effects, ozone depletion, acid deposition, drought and waterlogging frequency, higher and lower temperature duration, soil acidity and degradation, soil polluted with heavy metals, sharp decline of forest area and species diversity etc. It is well documented that biogeography environments and climates play key roles in species distribution, while global changes affect the distribution and utilization of species resources. As the most intimate partner to plants, mycorrhizal fungi are also seriously influenced. Mycorrhizal fungi which colonize plant roots and form symbiosis with host plants, occupy irreplaceable niche. Mycorrhizal associations specifically arbuscular mycorrhiza (AM), ectomycorrhiza (ECM), ectoendomycorrhiza (EEM), ericoid mycorrhizas (ERM), and/or orchid mycorrhizas (OM), interact with other organisms living both in soil and on the ground, incorporate nutrient transforming, absorption, circulation and utilization. They play vital roles in maintaining atmospheric compositions, adjusting terrestrial ecosystems, increasing biodiversities, stabilizing sustainable productivities as well as sustainable development of human society. Thus, exploration of the function and functioning mechanisms of mycorrhizal fungi under global changes is a complete new subject, especially, the study on biological mechanisms to global changes is of realistic value and profound scientific significance. This paper introduces the impact of global changes on mycorrhizal fungi, particularly the influence of greenhouse effects, CO2 level increasing, ozone depletion, acid with nitrogen and sulfur deposition, drought and waterlogging, exotic plant invasion, and human activities on mycorrhizal fungus development and functions. We summarized the possible functions of mycorrhizal fungi under global changes through direct and indirect pathways, such as rehabilitating and stabilizing the damaged, degraded and fragile ecosystems, deceasing CO2 concentration in the atmosphere, increasing carbon sink, enhancing substance conversion, circulation and utilization, resisting to plant pathogens and pest insects, conferring biological stresses, and playing some roles in exotic plant invasion and succession. The authors also reviewed the functioning mechanisms of mycorrhizal fungi under global changes. It was suggested that mycorrhizal fungi may synergistically function with the other organisms, strengthening their own and host plant physiological and ecological characteristics, enlarging hyphae net, and secreting and inducing beneficial substances. Therefore the position, role, function and mechanisms of mycorrhizal fungi under global changes, especially the evolution characters of mycorrhizal fungi and mycorrhizas, the role and functions of mycorrhizal fungi under global changes and possible mechanisms of responses of mycorrhizal fungi to the global changes, should be paid more attention to. This knowledge may be helpful for better understanding of the comprehensive responses of terrestrial ecosystems to global changes, and for providing basis for further investigation on this topics and possible pathways to control agricultural pests. © 2014, Science Press. All rights reserved.","Arbuscular mycorrhiza; Ectomycorrhiza; Global changes; Mycorrhiza; Mycorrhizal fungi","Fungi; biogeography; biological invasion; carbon dioxide; concentration (composition); fungus; geographical distribution; global change; host plant; mycorrhiza; pest species; species diversity; sustainable development; symbiosis; terrestrial ecosystem","Chinese","Article","Final","","Scopus","2-s2.0-84911466512"
"Johnson C.N.; Balmford A.; Brook B.W.; Buettel J.C.; Galetti M.; Guangchun L.; Wilmshurst J.M.","Johnson, Christopher N. (7405667303); Balmford, Andrew (57207509047); Brook, Barry W. (7003956690); Buettel, Jessie C. (57189601326); Galetti, Mauro (7004205870); Guangchun, Lei (55911610400); Wilmshurst, Janet M. (7004359599)","7405667303; 57207509047; 7003956690; 57189601326; 7004205870; 55911610400; 7004359599","Biodiversity losses and conservation responses in the Anthropocene","2017","Science","356","6335","","270","275","5","471","10.1126/science.aam9317","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018542450&doi=10.1126%2fscience.aam9317&partnerID=40&md5=7589236a08d80a7096808e9bee479b00","Biodiversity is essential to human well-being, but people have been reducing biodiversity throughout human history. Loss of species and degradation of ecosystems are likely to further accelerate in the coming years. Our understanding of this crisis is now clear, and world leaders have pledged to avert it. Nonetheless, global goals to reduce the rate of biodiversity loss have mostly not been achieved. However, many examples of conservation success show that losses can be halted and even reversed. Building on these lessons to turn the tide of biodiversity loss will require bold and innovative action to transform historical relationships between human populations and nature.","","Animals; Biodiversity; Climate Change; Conservation of Natural Resources; Extinction, Biological; Human Activities; Humans; Population; Anthropocene; biodiversity; conservation management; environmental degradation; global change; historical ecology; historical record; nature-society relations; biodiversity; climate change; conservation biology; ecosystem; endangered species; human; nonhuman; priority journal; Review; species extinction; animal; environmental protection; human activities; population","English","Review","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85018542450"
"Renaud F.G.; Syvitski J.P.M.; Sebesvari Z.; Werners S.E.; Kremer H.; Kuenzer C.; Ramesh R.; Jeuken A.; Friedrich J.","Renaud, Fabrice G. (7103316788); Syvitski, James P.M. (25946569800); Sebesvari, Zita (8209930800); Werners, Saskia E. (24177558500); Kremer, Hartwig (53982839700); Kuenzer, Claudia (55927784300); Ramesh, Ramachandran (7201897782); Jeuken, A.D. (57224297909); Friedrich, Jana (7201690499)","7103316788; 25946569800; 8209930800; 24177558500; 53982839700; 55927784300; 7201897782; 57224297909; 7201690499","Tipping from the Holocene to the Anthropocene: How threatened are major world deltas?","2013","Current Opinion in Environmental Sustainability","5","6","","644","654","10","135","10.1016/j.cosust.2013.11.007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84890167874&doi=10.1016%2fj.cosust.2013.11.007&partnerID=40&md5=fe87b20c65fec1f465b15ddcc25d858e","Coastal deltas are landforms that typically offer a wide variety of benefits to society including highly fertile soils for agricultural development, freshwater resources, and rich biodiversity. For these reasons, many deltas are densely populated, are important economic hubs, and have been transformed by human interventions such as agricultural intensification, modification of water and sediment fluxes, as well as urbanization and industrialization. Additionally, deltas are increasingly affected by the consequences of climate change including sea level rise, and by other natural hazards such as cyclones and storm surges. Five examples of major deltas (Rhine-Meuse, Ganges, Indus, Mekong, and Danube) illustrate the force of human interventions in shaping and transforming deltas and in inducing shifts between four different social-ecological system (SES) states: Holocene, modified Holocene, Anthropocene and 'collapsed'. The three Asian deltas are rapidly changing but whereas SES in the Ganges and Indus deltas are in danger of tipping into a 'collapsed' state, SES in the Mekong delta, which is at the crossroads of various development pathways, could increase in resilience in the future. The Rhine-Meuse and Danube delta examples show that highly managed states may allow, under specific conditions, for interventions leading to increasingly resilient systems. However, little is known about the long-term effects of rapid human interventions in deltas. It is therefore critical to increase the knowledge-base related to SES dynamics and to better characterize social tipping points or turning points in order to avoid unacceptable changes. © 2013 Fabrice G Renaud.","","Danube Delta; Ganges Delta; Indus Delta; Mekong Delta; Netherlands; Pakistan; Rhine-Meuse Delta; Sind; Viet Nam; agricultural development; agricultural intensification; anthropogenic effect; biodiversity; delta; environmental economics; Holocene; human activity; industrialization; natural hazard; sustainability; sustainable development; urbanization","English","Review","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-84890167874"
"Näyhä A.","Näyhä, Annukka (36969514200)","36969514200","Transition in the Finnish forest-based sector: Company perspectives on the bioeconomy, circular economy and sustainability","2019","Journal of Cleaner Production","209","","","1294","1306","12","75","10.1016/j.jclepro.2018.10.260","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057147703&doi=10.1016%2fj.jclepro.2018.10.260&partnerID=40&md5=dc0fd7c74de1395252a3cf28746b78bd","The forest-based sector is affected by many profound structural changes and the increasing complexity of the business environment due to, for example, the mature markets of many core products and the aims for bio and circular economies and more sustainable societies. In response to the changing business environment, forest-based sector firms need to restructure their business models and develop new products and services. From the Finnish perspective, new forest-based businesses are crucial in the transition to successful and sustainable bio and circular economies. Views on the concepts of bioeconomy, circular economy and sustainability vary according to which parties are involved. Developing new forest-based sector businesses requires that different actors have knowledge of how each understands these concepts because this creates a basis for commonly accepted goals. This study aims to shed light on how forest-based sector companies understand the concepts of bioeconomy and circular and their linkages to sustainability when transforming their businesses. Semi-structured thematic interviews were conducted with 18 company executives and managers from 17 forest-based sector firms and companies from interfacing sectors, all of which have operations in Finland. The results indicate that there are various understandings of the studied concepts and that they are strongly interlinked. The participating firms often saw themselves as forerunners of circular bioeconomy, highlighting the core role of sustainability and reliance on “reasonable use of wood” and far-reaching, in-depth Finnish expertise in the field. Bioeconomy was usually seen as a response to climate challenge by bio-based, renewable material. The key dichotomy was whether bioeconomy should include traditional, bulk forest-based products or should it be dedicated to new, innovative, higher value-added products only. Another challenge was how to target and guarantee the availability of wood-based biomass for different purposes. Circular economy was characterized by resource efficiency, closed loops, recycling and collaboration. The challenges here was leaning too much on old practices whereas more emphasis should be put on inventing innovative collaborations and products. The sustainability discussion was focused on raw material sustainability and on the importance of Finnish forests as carbon sequesters and the sustainable volumes of wood-biomass utilized, whereas biodiversity went largely unnoticed. © 2018 Elsevier Ltd","Bioeconomy; Circular economy; Finnish views; Forest-based sector; Sustainability; Transition","Biodiversity; Forestry; Bioeconomy; Circular economy; Finnish; Forest-based sector; Transition; Sustainable development","English","Review","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85057147703"
"Sarmiento F.O.","Sarmiento, Fausto O. (7006735807)","7006735807","The lapwing in andean ethnoecology: Proxy for landscape transformation","2010","Geographical Review","100","2","","229","245","16","3","10.1111/j.1931-0846.2010.00024.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77952915644&doi=10.1111%2fj.1931-0846.2010.00024.x&partnerID=40&md5=ddd9d897712f598856ae4fc92253d213","The Andean lapwing (. Vanellus resplendens Tschudi) prompts rethinking of ethnoecology in neotropical cloud forests and páramos and challenges notions about conservation in mountain protected areas. Using archaeological, historical, and current evidence, I argue that the role of humans in shaping viable high-mountain bird populations is an important factor in the conservation priorities of tropandean landscapes, particularly in the mountains. The presence of the Andean lapwing demonstrates the intricate linkages between culture and nature in the Andean region. I highlight a paradox of conservation, using the Andean lapwing as the avian indicator of global environmental change as an example of the contest between landscape change, biodiversity, and ethnoecological insights. Landscape stewardship, conservation easements, and cultural landscapes are options for inclusion in the repertoire of scenarios for the survival of healthy avifaunal assemblages in high-mountain environments that have evolved in synchrony with humans, such as in páramos, cultural landscapes worth protecting in the tropical Andes. © 2010 by the American Geographical Society of New York.","Andes Mountains; Ecuador; Ethnoecology; Landscape transformation; Páramo; Tropics; Vanellus resplendens","Andes; Ecuador; Aves; Vanellus resplendens; avifauna; biodiversity; landscape change; landscape ecology; nature conservation; protected area; tropical region; wader","English","Article","Final","","Scopus","2-s2.0-77952915644"
